,zip,year,count,process_time
598,10306,2017,2833,6.9199082244970045
599,10306,2018,2372,7.396374367622274
600,10307,2010,65,5.34
601,10307,2011,240,6.0437499999999975
602,10307,2012,230,7.272173913043477
603,10307,2013,472,5.202118644067798
604,10307,2014,522,6.087739463601532
605,10307,2015,619,5.748788368336028
606,10307,2016,475,4.613473684210522
607,10307,2017,567,4.694003527336863
608,10307,2018,552,4.964855072463768
609,10308,2010,136,6.349264705882356
610,10308,2011,518,7.882818532818533
611,10308,2012,543,8.043830570902394
612,10308,2013,577,8.668457538994806
613,10308,2014,879,6.892491467576797
614,10308,2015,1361,7.5765613519471025
615,10308,2016,1348,5.582640949554906
616,10308,2017,1397,6.627129563350035
617,10308,2018,1170,6.965897435897448
618,10309,2010,133,6.165413533834587
619,10309,2011,551,6.735753176043557
620,10309,2012,541,6.711090573012944
621,10309,2013,808,5.201608910891089
622,10309,2014,967,5.6366080661840705
623,10309,2015,1066,6.928330206378997
624,10309,2016,1034,6.678723404255318
625,10309,2017,1376,6.162500000000003
626,10309,2018,1259,5.474503574265287
627,10310,2010,286,5.234615384615385
628,10310,2011,922,6.341214750542303
629,10310,2012,755,6.738278145695365
630,10310,2013,940,5.354893617021279
631,10310,2014,1413,5.818895966029715
632,10310,2015,1833,6.818985270049106
633,10310,2016,1792,9.115011160714284
634,10310,2017,2164,6.771534195933466
635,10310,2018,1892,7.562737843551794
636,10312,2010,317,5.809148264984229
637,10312,2011,1075,6.6138604651162805
638,10312,2012,1065,6.639061032863852
639,10312,2013,1394,5.976040172166426
640,10312,2014,1824,5.94775219298246
641,10312,2015,2611,5.904978935273848
642,10312,2016,2947,4.944180522565331
643,10312,2017,2620,6.135725190839696
644,10312,2018,2373,5.587568478718912
645,10314,2010,438,7.1993150684931555
646,10314,2011,1811,6.857537272225283
647,10314,2012,1642,6.795249695493297
648,10314,2013,2327,6.739922647185215
649,10314,2014,2698,7.398480355819116
650,10314,2015,3231,7.686350974930365
651,10314,2016,3776,7.963612288135584
652,10314,2017,4427,8.548768918003171
653,10314,2018,4640,9.24441810344826
654,10400,2011,1,0.3
655,10451,2010,414,6.191787439613529
656,10451,2011,1394,6.496269727403146
657,10451,2012,1446,7.3130705394190825
658,10451,2013,1905,6.36939632545932
659,10451,2014,2496,7.540625000000011
660,10451,2015,3019,9.108512752567073
661,10451,2016,3220,10.568385093167688
662,10451,2017,4124,10.063627546071777
663,10451,2018,4021,10.152623725441446
664,10452,2010,879,6.962912400455056
665,10452,2011,2652,6.840422322775258
666,10452,2012,3364,7.924405469678959
667,10452,2013,4103,6.505264440653186
668,10452,2014,4890,7.86051124744379
669,10452,2015,5925,10.23210126582277
670,10452,2016,6940,11.045187319884676
671,10452,2017,8182,11.09725006110979
672,10452,2018,8476,10.912340726757941
673,10453,2010,839,4.997854588796184
674,10453,2011,3122,6.204228058936579
675,10453,2012,3256,6.46200859950862
676,10453,2013,3418,7.1673200702165
677,10453,2014,4712,8.306069609507633
678,10453,2015,6259,9.347084198753771
679,10453,2016,7066,8.99282479479194
680,10453,2017,7732,9.056854630108644
681,10453,2018,7586,9.536422356973313
682,10454,2010,276,5.059782608695652
683,10454,2011,840,5.986071428571424
684,10454,2012,1126,6.983214920071047
685,10454,2013,1626,5.850922509225092
686,10454,2014,1769,7.004126625211983
687,10454,2015,2142,8.46101774042952
688,10454,2016,2560,8.864179687499997
689,10454,2017,2694,8.393912397921316
690,10454,2018,3002,8.298101265822769
691,10455,2010,332,5.8536144578313225
692,10455,2011,1110,6.367027027027029
693,10455,2012,1672,5.999043062200953
694,10455,2013,2346,5.201449275362326
695,10455,2014,2308,7.0041161178509475
696,10455,2015,2653,8.704372408594038
697,10455,2016,3185,9.195729984301401
698,10455,2017,3349,7.807435055240369
699,10455,2018,3387,8.321641570711531
700,10456,2010,719,6.49777468706537
701,10456,2011,2798,6.581808434596141
702,10456,2012,2916,7.352263374485585
703,10456,2013,3446,6.362536273940807
704,10456,2014,4797,7.684177611006874
705,10456,2015,6353,9.501196285219576
706,10456,2016,8346,10.31678648454351
707,10456,2017,7448,9.894522019334062
708,10456,2018,7210,9.991858529819712
709,10457,2010,727,5.69325997248968
710,10457,2011,2553,6.342499020759887
711,10457,2012,2649,7.059494148735389
712,10457,2013,3439,6.738470485606266
713,10457,2014,4484,8.269848349687791
714,10457,2015,5594,9.742259563818369
715,10457,2016,6857,9.888333090272695
716,10457,2017,7441,9.311181292836977
717,10457,2018,7381,9.561021541796537
718,10458,2010,888,5.731531531531525
719,10458,2011,3098,6.31946417043254
720,10458,2012,3332,6.81269507803123
721,10458,2013,4170,7.279664268585122
722,10458,2014,5282,7.963820522529343
723,10458,2015,5589,8.716586151368746
724,10458,2016,6553,7.978147413398428
725,10458,2017,7381,7.708738653299024
726,10458,2018,6883,7.18971378759264
727,10459,2010,409,6.306845965770174
728,10459,2011,1576,6.105647208121832
729,10459,2012,1629,6.619459791283
730,10459,2013,1921,7.136595523165008
731,10459,2014,2463,7.665529841656521
732,10459,2015,2781,8.717367853290199
733,10459,2016,3762,9.862626262626241
734,10459,2017,4349,8.951460105771426
735,10459,2018,4134,8.763957426221586
736,10460,2010,733,6.609822646657568
737,10460,2011,2321,6.274278328306778
738,10460,2012,2035,6.517641277641265
739,10460,2013,2361,6.814739517153763
740,10460,2014,3605,8.22940360610264
741,10460,2015,4566,9.150394218134005
742,10460,2016,4945,9.866976744186017
743,10460,2017,5685,8.707053649956011
744,10460,2018,5163,8.64361805152041
745,10461,2010,386,5.280569948186527
746,10461,2011,1655,5.504773413897283
747,10461,2012,1763,5.429268292682924
748,10461,2013,2137,5.6917173607861535
749,10461,2014,3014,7.855076310550779
750,10461,2015,4322,9.399814900509016
751,10461,2016,4992,10.447976762820511
752,10461,2017,5050,9.09176237623762
753,10461,2018,5959,9.491424735693888
754,10462,2010,759,5.23003952569171
755,10462,2011,2986,5.626992632284004
756,10462,2012,2969,5.5232738295722585
757,10462,2013,2757,6.2338048603554554
758,10462,2014,3631,7.91534012668686
759,10462,2015,4720,8.960211864406824
760,10462,2016,4848,10.00096947194718
761,10462,2017,5611,9.514257708073409
762,10462,2018,5675,9.694132158590289
763,10463,2010,623,4.566292134831466
764,10463,2011,2100,5.027809523809522
