zip,hour,value
10456,17,142
10456,18,168
10456,19,207
10456,20,285
10456,21,363
10456,22,526
10456,23,498
10457,0,429
10457,1,313
10457,2,184
10457,3,113
10457,4,80
10457,5,72
10457,6,65
10457,7,110
10457,8,100
10457,9,105
10457,10,92
10457,11,91
10457,12,103
10457,13,96
10457,14,82
10457,15,126
10457,16,153
10457,17,177
10457,18,178
10457,19,199
10457,20,299
10457,21,397
10457,22,498
10457,23,544
10458,0,408
10458,1,261
10458,2,131
10458,3,116
10458,4,88
10458,5,52
10458,6,65
10458,7,71
10458,8,57
10458,9,79
10458,10,85
10458,11,90
10458,12,79
10458,13,98
10458,14,88
10458,15,100
10458,16,103
10458,17,155
10458,18,166
10458,19,218
10458,20,305
10458,21,351
10458,22,418
10458,23,448
10459,0,169
10459,1,144
10459,2,90
10459,3,71
10459,4,61
10459,5,51
10459,6,56
10459,7,55
10459,8,70
10459,9,63
10459,10,74
10459,11,51
10459,12,62
10459,13,62
10459,14,118
10459,15,89
10459,16,95
10459,17,64
10459,18,100
10459,19,98
10459,20,121
10459,21,149
10459,22,196
10459,23,211
10460,0,250
10460,1,193
10460,2,115
10460,3,82
10460,4,57
10460,5,45
10460,6,60
10460,7,84
10460,8,84
10460,9,91
10460,10,76
10460,11,59
10460,12,76
10460,13,65
10460,14,76
10460,15,66
10460,16,93
10460,17,106
10460,18,116
10460,19,171
10460,20,215
10460,21,279
10460,22,290
10460,23,294
10461,0,178
10461,1,106
10461,2,62
10461,3,38
10461,4,38
10461,5,44
10461,6,47
10461,7,92
10461,8,138
10461,9,152
10461,10,144
10461,11,147
10461,12,161
10461,13,125
10461,14,151
10461,15,141
10461,16,142
10461,17,138
10461,18,174
10461,19,194
10461,20,160
10461,21,205
10461,22,258
10461,23,262
10462,0,223
10462,1,138
10462,2,74
10462,3,41
10462,4,39
10462,5,49
10462,6,73
10462,7,104
10462,8,114
10462,9,122
10462,10,89
10462,11,102
10462,12,69
10462,13,87
10462,14,96
10462,15,104
10462,16,125
10462,17,119
10462,18,152
10462,19,186
10462,20,221
10462,21,265
10462,22,312
10462,23,325
10463,0,358
10463,1,187
10463,2,114
10463,3,62
10463,4,48
10463,5,40
10463,6,67
10463,7,129
10463,8,90
10463,9,101
10463,10,91
10463,11,77
10463,12,111
10463,13,112
10463,14,100
10463,15,107
10463,16,132
10463,17,124
10463,18,178
10463,19,180
10463,20,300
10463,21,375
10463,22,408
10463,23,404
10464,0,19
10464,1,14
10464,2,12
10464,3,3
10464,4,7
10464,5,7
10464,6,5
10464,7,7
10464,8,4
10464,9,4
10464,10,14
10464,11,10
10464,12,7
10464,13,16
10464,14,25
10464,15,18
10464,16,15
10464,17,21
10464,18,34
10464,19,36
10464,20,24
10464,21,23
10464,22,20
10464,23,42
10465,0,164
10465,1,100
10465,2,38
10465,3,28
10465,4,19
10465,5,26
10465,6,48
10465,7,58
10465,8,69
10465,9,75
10465,10,81
10465,11,88
10465,12,76
10465,13,63
10465,14,59
10465,15,101
10465,16,110
10465,17,113
10465,18,125
10465,19,131
10465,20,172
10465,21,267
10465,22,221
10465,23,224
10466,0,270
10466,1,240
10466,2,152
10466,3,76
10466,4,86
10466,5,52
10466,6,83
10466,7,165
10466,8,143
10466,9,168
10466,10,131
10466,11,134
10466,12,122
10466,13,91
10466,14,115
10466,15,131
10466,16,137
10466,17,134
10466,18,176
10466,19,181
10466,20,234
10466,21,267
10466,22,361
10466,23,311
10467,0,484
10467,1,298
10467,2,181
10467,3,106
10467,4,89
10467,5,75
10467,6,89
10467,7,159
10467,8,151
10467,9,157
10467,10,133
10467,11,126
10467,12,154
10467,13,135
10467,14,126
10467,15,181
10467,16,173
10467,17,209
10467,18,242
10467,19,292
10467,20,415
10467,21,527
10467,22,597
10467,23,561
10468,0,516
10468,1,305
10468,2,188
10468,3,122
10468,4,103
10468,5,80
10468,6,57
10468,7,90
10468,8,82
10468,9,105
10468,10,74
10468,11,65
10468,12,103
10468,13,78
10468,14,106
10468,15,109
10468,16,130
10468,17,154
10468,18,235
10468,19,328
10468,20,444
10468,21,616
10468,22,668
10468,23,604
10469,0,180
10469,1,149
10469,2,99
10469,3,69
10469,4,56
10469,5,40
10469,6,72
10469,7,133
10469,8,152
10469,9,159
10469,10,111
10469,11,114
10469,12,93
10469,13,93
10469,14,105
10469,15,94
10469,16,115
10469,17,111
10469,18,120
10469,19,136
10469,20,170
10469,21,206
10469,22,261
10469,23,235
10470,0,74
10470,1,54
10470,2,49
10470,3,23
10470,4,21
10470,5,17
10470,6,28
10470,7,47
10470,8,55
10470,9,67
10470,10,73
10470,11,54
10470,12,62
10470,13,43
10470,14,50
10470,15,46
10470,16,63
10470,17,64
10470,18,66
10470,19,68
10470,20,85
10470,21,102
10470,22,138
10470,23,98
10471,0,57
10471,1,35
10471,2,24
10471,3,15
10471,4,11
10471,5,9
10471,6,24
10471,7,46
10471,8,47
10471,9,57
10471,10,42
10471,11,45
10471,12,44
10471,13,35
10471,14,30
10471,15,33
10471,16,40
10471,17,45
10471,18,53
10471,19,36
10471,20,65
10471,21,58
10471,22,63
10471,23,68
10472,0,271
10472,1,188
10472,2,139
10472,3,80
10472,4,65
10472,5,61
10472,6,64
10472,7,88
10472,8,84
10472,9,90
10472,10,67
10472,11,66
10472,12,109
10472,13,81
10472,14,73
10472,15,81
10472,16,97
10472,17,177
10472,18,206
10472,19,246
10472,20,269
10472,21,369
10472,22,534
10472,23,530
10473,0,167
10473,1,124
10473,2,91
10473,3,47
10473,4,29
10473,5,28
