zip,year,count,process_time
10460,2013,2361,6.814739517
10460,2014,3605,8.229403606
10460,2015,4566,9.150394218
10460,2016,4945,9.866976744
10460,2017,5685,8.70705365
10460,2018,5163,8.643618052
10461,2010,386,5.280569948
10461,2011,1655,5.504773414
10461,2012,1763,5.429268293
10461,2013,2137,5.691717361
10461,2014,3014,7.855076311
10461,2015,4322,9.399814901
10461,2016,4992,10.44797676
10461,2017,5050,9.091762376
10461,2018,5959,9.491424736
10462,2010,759,5.230039526
10462,2011,2986,5.626992632
10462,2012,2969,5.52327383
10462,2013,2757,6.23380486
10462,2014,3631,7.915340127
10462,2015,4720,8.960211864
10462,2016,4848,10.00096947
10462,2017,5611,9.514257708
10462,2018,5675,9.694132159
10463,2010,623,4.566292135
10463,2011,2100,5.027809524
10463,2012,2381,5.451070979
10463,2013,2482,5.703464948
10463,2014,3562,6.036861314
10463,2015,4636,6.774525453
10463,2016,5137,6.52260074
10463,2017,6368,5.915295226
10463,2018,6660,5.963063063
10464,2010,31,5.574193548
10464,2011,173,5.396531792
10464,2012,179,6.108379888
10464,2013,845,5.256213018
10464,2014,582,7.553780069
10464,2015,616,10.88230519
10464,2016,753,10.56334661
10464,2017,565,7.958584071
10464,2018,655,8.62778626
10465,2010,314,6.228343949
10465,2011,1338,5.85186846
10465,2012,1325,6.185962264
10465,2013,1627,5.988998156
10465,2014,2555,8.217612524
10465,2015,3249,10.1384426
10465,2016,3974,10.8627076
10465,2017,4069,8.142614893
10465,2018,4145,8.82424608
10466,2010,777,4.536036036
10466,2011,2558,5.177599687
10466,2012,2830,6.825265018
10466,2013,3711,6.517407707
10466,2014,4585,8.403097056
10466,2015,5305,10.14808671
10466,2016,6254,10.94157339
10466,2017,7084,10.33066064
10466,2018,6532,10.52751072
10467,2010,1197,4.594820384
10467,2011,4246,5.590390956
10467,2012,4283,6.417044128
10467,2013,5189,6.625746772
10467,2014,7103,7.823877235
10467,2015,7838,8.890941567
10467,2016,8876,9.103841821
10467,2017,10469,8.914920241
10467,2018,10083,8.727977784
10468,2010,806,4.907692308
10468,2011,3012,5.667994688
10468,2012,3198,6.281769856
10468,2013,4237,6.635308001
10468,2014,5786,7.36902869
10468,2015,6263,7.82351908
10468,2016,7806,7.21945939
10468,2017,10146,6.756978119
10468,2018,8931,6.475646624
10469,2010,570,4.491754386
10469,2011,2589,5.425222093
10469,2012,2609,5.840820238
10469,2013,2664,5.976651652
10469,2014,3589,8.203064921
10469,2015,4593,9.800936207
10469,2016,4819,11.29024694
10469,2017,5589,10.53673287
10469,2018,5203,10.68791082
10470,2010,181,3.932044199
10470,2011,655,5.419694656
10470,2012,587,7.128449744
10470,2013,839,6.10250298
10470,2014,1070,8.801682243
10470,2015,1452,10.5934573
10470,2016,1859,11.92119419
10470,2017,2001,11.56496752
10470,2018,2428,11.21392092
10471,2010,167,4.682634731
10471,2011,507,5.637475345
10471,2012,482,5.311825726
10471,2013,563,5.311367673
10471,2014,677,6.101624815
10471,2015,930,7.410645161
10471,2016,1325,6.688
10471,2017,1649,5.693875076
10471,2018,1783,6.302019069
10472,2010,581,6.663511188
10472,2011,2209,7.608827524
10472,2012,2482,7.162852538
10472,2013,3030,6.264257426
10472,2014,3973,8.594185754
10472,2015,5459,7.523154424
10472,2016,8107,6.89041569
10472,2017,8276,6.66462059
10472,2018,7011,6.782998146
10473,2010,330,6.790909091
10473,2011,1417,7.684968243
10473,2012,1998,6.704304304
10473,2013,1938,6.710629515
10473,2014,2724,8.363546256
10473,2015,2928,8.385314208
10473,2016,3464,8.410046189
10473,2017,4316,7.909661724
10473,2018,4376,8.300137112
10474,2010,97,8.3
10474,2011,463,6.953131749
10474,2012,424,7.445754717
10474,2013,668,7.415868263
10474,2014,959,6.847653806
10474,2015,1288,8.390139752
10474,2016,1415,9.52
10474,2017,1452,9.181267218
10474,2018,1814,8.815656009
10475,2010,73,4.852054795
10475,2011,273,6.343223443
10475,2012,372,6.198924731
10475,2013,286,6.596853147
10475,2014,656,8.276829268
10475,2015,629,9.623211447
10475,2016,624,10.62355769
10475,2017,820,9.335
10475,2018,752,9.761569149
10803,2013,2,11.1
10803,2014,2,9.55
10803,2015,4,6.525
10803,2016,1,18.9
11001,2010,23,8.695652174
11001,2011,87,7.368965517
11001,2012,73,7.702739726
11001,2013,60,7.263333333
11001,2014,145,7.297241379
11001,2015,230,9.785652174
11001,2016,319,10.27868339
11001,2017,333,11.32282282
11001,2018,244,7.843032787
11004,2010,55,6.994545455
11004,2011,212,6.919811321
11004,2012,251,8.287649402
11004,2013,312,5.883333333
11004,2014,330,8.469090909
11004,2015,430,10.1355814
11004,2016,534,10.72228464
11004,2017,479,9.121294363
11004,2018,372,7.257258065
11005,2012,2,2.25
11005,2013,1,2.8
11005,2014,3,12.6
11005,2015,2,2.2
11005,2017,1,4.5
11005,2018,2,7.75
11040,2010,18,9.044444444
11040,2011,54,8.131481481
11040,2012,23,9.239130435
11040,2013,63,5.607936508
11040,2014,78,10.23717949
11040,2015,136,9.211029412
11040,2016,129,8.733333333
11040,2017,169,11.21301775
11040,2018,168,9.080357143
11096,2017,1,0.1
11101,2010,527,6.296963947
11101,2011,1742,6.271125144
11101,2012,1994,7.102006018
11101,2013,2298,6.822671889
11101,2014,3659,7.043727794
11101,2015,4144,9.059049228
11101,2016,5087,9.839197956
11101,2017,5972,8.258523108
11101,2018,6372,9.558929692
11102,2010,352,5.564488636
11102,2011,1335,5.947940075
11102,2012,1314,6.058828006
11102,2013,1572,6.620038168
11102,2014,2531,6.103674437
11102,2015,2949,8.401390302
11102,2016,3345,8.852944694
11102,2017,3816,7.044863732
11102,2018,3680,8.534918478
11103,2010,404,4.405445545
11103,2011,1626,5.748154982
11103,2012,1842,6.163626493
11103,2013,2069,6.764137264
11103,2014,3005,6.51687188
11103,2015,3598,8.560172318
11103,2016,3476,9.449309551
11103,2017,4067,7.239906565
11103,2018,4643,8.439478785
11104,2010,237,4.862869198
